"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "TypeScript", "Docker", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\Dockerfile", "Docker", 0, 0, 0, 0, 0, 7, 0, 1, 8
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 1, 17
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\src\index.js", "JavaScript", 255, 0, 0, 0, 0, 0, 21, 56, 332
"l:\Office\CLPM\clpm-app-latest\backend\aggregation\src\rabbit.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 4, 16
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\Dockerfile", "Docker", 0, 0, 0, 0, 0, 15, 0, 2, 17
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\package.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 1, 50
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 3, 2, 54
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\jwt.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 2, 6
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\jwt.strategy.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 1, 4, 40
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\roles.decorator.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\auth\roles.guard.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 3, 20
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.controller.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 3, 23
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\data\data.service.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.controller.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 4, 33
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 2, 13
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\diagnostics\diagnostics.service.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 3, 15
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.controller.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 5, 51
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.service.ts", "TypeScript", 0, 0, 0, 0, 233, 0, 10, 39, 282
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\create-loop.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\update-loop.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 1, 4
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\entities\loop.entity.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 2, 18
